condition,encoding_pred,encoding_true,decision_pred,decision_true,confirmation_pred,confirmation_true,response_pred,response_true
SP,0.13333334,0.14285715,0.26666668,0.552381,0.7619048,0.0,0.8666667,0.93333334
AC,0.024271844,0.024271844,0.12135922,0.1262136,0.49029127,0.407767,0.9563107,0.9611651
AC,0.027027028,0.05945946,0.097297296,0.097297296,0.85945946,0.2972973,0.96216214,0.972973
SP,0.0625,0.4125,0.7375,0.75,0.4375,0.0,0.925,0.95
AC,0.053639848,0.03448276,0.24521072,0.24521072,0.6436782,0.6321839,0.96934867,0.96934867
AC,0.024922118,0.08722741,0.1588785,0.16199377,0.36448598,0.317757,0.97507787,0.97196263
AC,0.054263566,0.42635658,0.2015504,0.4651163,0.5813953,0.70542634,0.9457364,0.93798447
SP,0.12413793,0.13103448,0.2137931,0.50344825,0.63448274,0.0,0.9172414,0.91034484
AC,0.02052786,0.038123168,0.1260997,0.26979473,0.41935483,0.35190615,0.98533726,0.9882698
AC,0.0921659,0.15207373,0.3548387,0.3548387,0.4423963,0.56682026,0.94930875,0.92626727
AC,0.09815951,0.10429448,0.35582823,0.34969324,0.66871166,0.67484665,0.9693251,0.9815951
SP,0.05839416,0.08029197,0.3649635,0.37226278,0.649635,0.0,0.93430656,0.94160587
AC,0.057971016,0.16666667,0.18115942,0.39130434,0.6086956,0.5289855,0.95652175,0.9347826
SP,0.027237354,0.21011673,0.06614786,0.35019454,0.5564202,0.0,0.9610895,0.95719844
SP,0.09565217,0.11304348,0.26956522,0.3652174,0.8,0.0,0.9130435,0.9217391
AC,0.097297296,0.22162162,0.3189189,0.45945945,0.6756757,0.6378378,0.9459459,0.94054055
SP,0.07920792,0.089108914,0.5445545,0.55445546,0.77227724,0.0,0.9108911,0.9306931
AC,0.039473683,0.05263158,0.39473686,0.40131578,0.6184211,0.875,0.95394737,0.95394737
SP,0.024038462,0.01923077,0.24038461,0.26923078,0.57211536,0.0,0.96634614,0.97115386
SP,0.018348623,0.21100917,0.24770643,0.24311927,0.29816514,0.0,0.9587156,0.9495413
AC,0.048859935,0.052117262,0.15960912,0.17263843,0.3355049,0.24429968,0.9478827,0.9446254
AC,0.112,0.248,0.432,0.432,0.632,0.768,0.88,0.952
SP,0.07368421,0.17894737,0.4,0.4,0.6315789,0.0,0.9052632,0.8842105
SP,0.073033705,0.06741573,0.14606741,0.41011235,0.46629214,0.0,0.9550562,0.9550562
SP,0.048611112,0.25,0.4097222,0.4236111,0.7291667,0.0,0.9236111,0.9166667
AC,0.054263566,0.054263566,0.11627907,0.27131784,0.43023255,0.5232558,0.9496124,0.9496124
SP,0.03649635,0.25547445,0.15328467,0.38686132,0.50364965,0.0,0.93430656,0.9270073
SP,0.14173229,0.16535433,0.44094488,0.5590551,0.62992126,0.0,0.96062994,0.96062994
AC,0.01650165,0.00990099,0.06270627,0.06270627,0.48844886,0.4059406,0.9768977,0.98349833
SP,0.04895105,0.33566433,0.5874126,0.5944056,0.8881119,0.0,0.9370629,0.9370629
SP,0.068627454,0.04901961,0.2254902,0.4509804,0.61764705,0.0,0.9313725,0.9313725
SP,0.059602648,0.13245033,0.41721854,0.41721854,0.6821192,0.0,0.92715234,0.98013246
SP,0.06185567,0.10309278,0.57731956,0.58762884,0.7525773,0.0,0.91752577,0.92783505
AC,0.051643193,0.051643193,0.089201875,0.30985916,0.62441313,0.44131455,0.9577465,0.9530516
AC,0.05882353,0.06334842,0.239819,0.280543,0.5294118,0.5248869,0.959276,0.9728507
AC,0.04,0.088,0.204,0.212,0.672,0.656,0.956,0.948
SP,0.022988506,0.1532567,0.22222222,0.22222222,0.52873564,0.0,0.97318006,0.9808429
SP,0.04597701,0.03448276,0.14942528,0.6321839,0.3678161,0.0,0.8965517,0.8965517
SP,0.045454547,0.03787879,0.37878788,0.4469697,0.7121212,0.0,0.9621212,0.969697
AC,0.03952569,0.07905138,0.11857708,0.12252964,0.55731225,0.26086956,0.9525692,0.9525692
AC,0.022857143,0.14285715,0.14857143,0.41142857,0.60571426,0.52,0.94285715,0.9771429
AC,0.051903114,0.048442908,0.11418685,0.10380623,0.5051903,0.31141868,0.9653979,0.9653979
AC,0.03557312,0.12648222,0.14229248,0.14624506,0.513834,0.3478261,0.972332,0.98418975
SP,0.048780486,0.09268293,0.2292683,0.49756098,0.28292683,0.0,0.96585363,0.9804878
SP,0.060402684,0.31543624,0.15436241,0.5167785,0.6308725,0.0,0.94630873,0.9328859
AC,0.026737968,0.021390375,0.3262032,0.32085562,0.64171124,0.5294118,0.95721924,0.96256685
AC,0.041666668,0.39583334,0.3611111,0.5555556,0.6875,0.8541667,0.9513889,0.9513889
AC,0.091603056,0.091603056,0.47328246,0.45801526,0.8091603,0.6793893,0.9541985,0.90839696
AC,0.015723271,0.10691824,0.1855346,0.17924528,0.336478,0.33333334,0.9685535,0.9842767
AC,0.02,0.057142857,0.24857143,0.24571429,0.4,0.3342857,0.9657143,0.9628571
AC,0.023622047,0.1496063,0.21259843,0.21259843,0.2874016,0.25984251,0.97244096,0.97244096
AC,0.025974026,0.0952381,0.14285715,0.14285715,0.55411255,0.25541127,0.97402596,0.98268396
AC,0.043165468,0.0647482,0.60431653,0.60431653,0.5323741,0.8489209,0.94244605,0.95683455
AC,0.028753994,0.19488817,0.22364217,0.2172524,0.5623003,0.37699682,0.9744409,0.98083067
AC,0.025477707,0.070063695,0.2356688,0.32484075,0.656051,0.53503186,0.9681529,0.9808917
AC,0.055555556,0.083333336,0.25462964,0.25462964,0.4814815,0.5648148,0.962963,0.9537037
AC,0.024154589,0.077294685,0.25120774,0.17391305,0.52657,0.46859902,0.9710145,0.9661836
AC,0.135,0.135,0.375,0.37,0.715,0.58,0.975,0.975
SP,0.096,0.168,0.432,0.432,0.728,0.0,0.936,0.96
AC,0.030534351,0.053435113,0.610687,0.60305345,0.8244275,0.83206105,0.9465649,0.9236641
SP,0.043062203,0.062200956,0.19138756,0.28708133,0.6411483,0.0,0.9569378,0.9569378
SP,0.097087376,0.106796116,0.21359223,0.2038835,0.70873785,0.0,0.89320385,0.89320385
AC,0.039426524,0.1827957,0.3046595,0.3405018,0.41218638,0.72043014,0.9605735,0.97849464
SP,0.05376344,0.08064516,0.27419356,0.27419356,0.5483871,0.0,0.9569892,0.96236557
SP,0.052401748,0.05676856,0.26200873,0.2532751,0.4628821,0.0,0.9781659,0.98253274
SP,0.06666667,0.18666667,0.70666665,0.6933333,0.49333334,0.0,0.9066667,0.94666666
SP,0.069767445,0.44186047,0.6744186,0.6627907,0.55813956,0.0,0.95348835,0.96511626
AC,0.027322404,0.09836066,0.27322406,0.27322406,0.4262295,0.4918033,0.95628417,0.9508197
SP,0.045801528,0.129771,0.21374045,0.5648855,0.4351145,0.0,0.9236641,0.9236641
AC,0.035897437,0.10769231,0.15384616,0.2769231,0.64102566,0.6974359,0.96410257,0.974359
AC,0.013333334,0.013333334,0.13333334,0.13777778,0.50222224,0.50222224,0.96444446,0.9777778
AC,0.0779661,0.08135593,0.10169491,0.098305084,0.4440678,0.15254237,0.9728814,0.9898305
AC,0.073619634,0.2760736,0.34355828,0.33742332,0.74846625,0.5337423,0.9386503,0.9447853
SP,0.03557312,0.0513834,0.45849803,0.45849803,0.7786561,0.0,0.9604743,0.9209486
SP,0.08108108,0.0945946,0.43243244,0.3918919,0.6621622,0.0,0.9324324,0.9459459
AC,0.036544852,0.03322259,0.16943522,0.04318937,0.4152824,0.21262458,0.97342193,0.9767442
AC,0.10650887,0.25443786,0.34319526,0.34319526,0.7810651,0.61538464,0.9704142,0.9704142
AC,0.025531914,0.18297872,0.23404256,0.23829788,0.5148936,0.48510638,0.9574468,0.9829787
AC,0.023391813,0.046783626,0.16374269,0.15497077,0.5,0.374269,0.9853801,0.9853801
AC,0.0661157,0.07438017,0.24793388,0.2644628,0.37190083,0.8347107,0.96694213,0.90082645
SP,0.032258064,0.15483871,0.21290323,0.4,0.67741936,0.0,0.9419355,0.9548387
SP,0.10344828,0.12413793,0.18620689,0.6068966,0.36551723,0.0,0.9310345,0.92413795
AC,0.026578072,0.023255814,0.096345514,0.10299003,0.51495016,0.31229237,0.96345514,0.96345514
AC,0.024271844,0.07281554,0.23300971,0.42718446,0.5436893,0.7621359,0.9660194,0.9563107
SP,0.03314917,0.09392265,0.1878453,0.40331492,0.6353591,0.0,0.9392265,0.97790056
SP,0.07865169,0.30337077,0.5955056,0.5955056,0.8202247,0.0,0.92134833,0.94382024
AC,0.017910447,0.065671645,0.1880597,0.1880597,0.46268657,0.43880597,0.97910446,0.9880597
SP,0.025,0.15,0.305,0.305,0.84,0.0,0.96,0.955
SP,0.023529412,0.105882354,0.30588236,0.31176472,0.5647059,0.0,0.9588235,0.9588235
SP,0.0390625,0.21875,0.421875,0.421875,0.6171875,0.0,0.953125,0.9453125
AC,0.02892562,0.020661157,0.11157025,0.10330579,0.6322314,0.61570245,0.96694213,0.9710744
SP,0.038709678,0.019354839,0.15483871,0.14193548,0.7032258,0.0,0.9548387,0.9677419
AC,0.023952097,0.029940119,0.35329342,0.44311377,0.6766467,0.76047903,0.9580838,0.9700599
AC,0.055555556,0.055555556,0.2847222,0.4652778,0.8263889,0.6180556,0.9444444,0.9375
SP,0.13333334,0.14666666,0.33333334,0.33333334,0.7866667,0.0,0.91333336,0.97333336
SP,0.074074075,0.12345679,0.69135803,0.69135803,0.54320985,0.0,0.9259259,0.9382716
AC,0.024752475,0.089108914,0.12871288,0.13366337,0.24752475,0.23267327,0.96039605,0.97029704
AC,0.025210084,0.12605043,0.20168068,0.28991598,0.55042017,0.5420168,0.9705882,0.96638656
SP,0.045045044,0.1981982,0.45945945,0.45945945,0.7207207,0.0,0.9279279,0.9369369
SP,0.03809524,0.21904762,0.51428574,0.51428574,0.73333335,0.0,0.9047619,0.8952381
AC,0.025210084,0.14285715,0.20588236,0.21428572,0.48319328,0.48319328,0.9579832,0.96638656
SP,0.08547009,0.102564104,0.1965812,0.43589744,0.8034188,0.0,0.96581197,0.9230769
AC,0.05379747,0.06329114,0.10759494,0.19620253,0.43670887,0.37974682,0.9778481,0.9746835
SP,0.040650405,0.12195122,0.50406504,0.5691057,0.6504065,0.0,0.9186992,0.9186992
AC,0.022801302,0.07166124,0.110749185,0.1791531,0.257329,0.58957654,0.9771987,0.97068405
AC,0.038022812,0.16730037,0.09885932,0.3079848,0.634981,0.55893534,0.9771863,0.98479086
AC,0.029761905,0.13392857,0.104166664,0.11309524,0.4077381,0.36309522,0.9583333,0.9910714
AC,0.057268724,0.026431719,0.27312776,0.07929515,0.5330396,0.44493392,0.969163,0.9779736
SP,0.12264151,0.13207547,0.2264151,0.2264151,0.6981132,0.0,0.9528302,0.9622642
SP,0.07865169,0.101123594,0.23595506,0.23595506,0.80898875,0.0,0.8876405,0.9550562
AC,0.02631579,0.078947365,0.2781955,0.2781955,0.5413534,0.37969926,0.981203,0.9887218
AC,0.01992032,0.15537849,0.22310758,0.21912351,0.41035858,0.45019922,0.9721116,0.9760956
AC,0.018867925,0.021563342,0.056603774,0.13207547,0.34770888,0.29110512,0.9703504,0.99191374
SP,0.033333335,0.11666667,0.2,0.23333333,0.525,0.0,0.94166666,0.96666664
SP,0.061946902,0.16814159,0.53097343,0.53097343,0.6637168,0.0,0.9380531,0.9380531
SP,0.05154639,0.072164945,0.58762884,0.58762884,0.45360824,0.0,0.9381443,0.9587629
SP,0.03076923,0.2846154,0.4076923,0.3923077,0.84615386,0.0,0.93846154,0.96153843
AC,0.033333335,0.1904762,0.2761905,0.42380953,0.5857143,0.6952381,0.9714286,0.9809524
AC,0.05027933,0.06703911,0.32402235,0.32402235,0.7430168,0.75977653,0.97206706,0.9776536
SP,0.09090909,0.3151515,0.38787878,0.47272727,0.55757576,0.0,0.93333334,0.92727274
AC,0.029761905,0.017857144,0.16071428,0.14285715,0.6130952,0.375,0.95238096,0.875
AC,0.028368793,0.09219858,0.20567375,0.19148937,0.68439716,0.5780142,0.9716312,0.9822695
SP,0.037383176,0.12149533,0.47663552,0.47663552,0.71028036,0.0,0.8785047,0.8785047
SP,0.11173184,0.11731844,0.30726257,0.30726257,0.6927374,0.0,0.96648043,0.97206706
SP,0.027559055,0.01968504,0.32283464,0.32677165,0.6889764,0.0,0.97637796,0.984252
SP,0.034782607,0.26086956,0.4695652,0.4695652,0.76521736,0.0,0.9130435,0.95652175
SP,0.033175357,0.23222749,0.13270143,0.27014217,0.5308057,0.0,0.9620853,0.96682465
AC,0.03858521,0.028938906,0.12861736,0.18327974,0.3762058,0.35369775,0.9581994,0.9807074
SP,0.042944785,0.2208589,0.33742332,0.33128834,0.5276074,0.0,0.9631902,0.9693251
AC,0.077844314,0.077844314,0.43712574,0.36526945,0.70658684,0.66467065,0.93413174,0.9580838
SP,0.032967035,0.04945055,0.10989011,0.104395606,0.37362638,0.0,0.96153843,0.978022
AC,0.04,0.04,0.26857144,0.2857143,0.6514286,0.6342857,0.9257143,0.9142857
SP,0.062176164,0.07772021,0.19170985,0.45595855,0.5181347,0.0,0.9481865,0.89637303
SP,0.026845638,0.20134228,0.15436241,0.30872482,0.81208056,0.0,0.94630873,0.94630873
AC,0.05,0.05625,0.08125,0.2125,0.503125,0.31875,0.971875,0.98125
AC,0.044585988,0.14012739,0.3566879,0.36305732,0.7006369,0.51592356,0.955414,0.9681529
SP,0.047872342,0.05319149,0.19680852,0.2712766,0.57978725,0.0,0.9468085,0.94148934
AC,0.07804878,0.03902439,0.2195122,0.2195122,0.6292683,0.49756098,0.9756098,0.98536587
AC,0.029850746,0.03731343,0.42537314,0.4402985,0.8134328,0.5,0.96268654,0.9701493
AC,0.028248588,0.02259887,0.107344635,0.10169491,0.63276833,0.59887004,0.9378531,0.9717514
SP,0.04191617,0.22155689,0.48502994,0.497006,0.65868264,0.0,0.96407187,0.97604793
SP,0.03088803,0.019305019,0.14671814,0.36679536,0.53667957,0.0,0.95752895,0.96138996
AC,0.020576132,0.11111111,0.23045267,0.22633745,0.51028806,0.51028806,0.95884776,0.97119343
SP,0.0234375,0.02734375,0.140625,0.13671875,0.46484375,0.0,0.9765625,0.97265625
SP,0.12179487,0.2628205,0.32051283,0.39102563,0.59615386,0.0,0.9423077,0.9358974
SP,0.046511628,0.069767445,0.1627907,0.49418604,0.68604654,0.0,0.9593023,0.9244186
SP,0.03255814,0.05116279,0.18139535,0.18139535,0.53023255,0.0,0.96279067,0.96279067
AC,0.03524229,0.14096916,0.2290749,0.23348017,0.37004405,0.37885463,0.9471366,0.9647577
SP,0.04901961,0.13725491,0.627451,0.61764705,0.5,0.0,0.872549,0.85294116
SP,0.031007752,0.12403101,0.2868217,0.4651163,0.79844964,0.0,0.9302326,0.9147287
AC,0.032051284,0.10576923,0.1826923,0.23397435,0.3653846,0.36858973,0.974359,0.974359
SP,0.121212125,0.13131313,0.4949495,0.5050505,0.6969697,0.0,0.90909094,0.959596
AC,0.060185187,0.14351852,0.24074075,0.2361111,0.5740741,0.37962964,0.9444444,0.9861111
AC,0.06584362,0.20576131,0.37037036,0.218107,0.7201646,0.3251029,0.94650203,0.9876543
AC,0.032051284,0.12179487,0.3525641,0.15384616,0.5448718,0.35897437,0.96794873,0.9807692
SP,0.083333336,0.10714286,0.42857143,0.3809524,0.35714287,0.0,0.9166667,0.9404762
SP,0.055172414,0.07586207,0.41379312,0.5448276,0.7172414,0.0,0.9517241,0.9655172
AC,0.033707865,0.15730338,0.20224719,0.19101124,0.6573034,0.5955056,0.9775281,0.94382024
SP,0.042168673,0.05421687,0.12650603,0.12048193,0.48192772,0.0,0.9578313,0.96385545
SP,0.047244094,0.10236221,0.23622048,0.61417323,0.5511811,0.0,0.9527559,0.96062994
SP,0.12,0.13,0.6,0.57,0.69,0.0,0.93,0.94
AC,0.02183406,0.17030568,0.37991267,0.37554586,0.55458516,0.40611354,0.9650655,0.96069866
AC,0.06832298,0.22360249,0.13043478,0.3726708,0.55279505,0.7080745,0.9689441,0.9751553
AC,0.024054984,0.020618556,0.058419243,0.058419243,0.4604811,0.33333334,0.96907216,0.96907216
AC,0.06225681,0.101167314,0.24902724,0.31128404,0.55252916,0.43579766,0.9688716,0.96498054
AC,0.04477612,0.18905473,0.23383084,0.24378109,0.5124378,0.43781096,0.960199,0.9502488
AC,0.037037037,0.026455026,0.3121693,0.31746033,0.3968254,0.84126985,0.97354496,0.984127
AC,0.04411765,0.066176474,0.14705883,0.36764705,0.61764705,0.5955882,0.9411765,0.9485294
AC,0.018867925,0.018867925,0.13584906,0.2792453,0.5283019,0.43396226,0.9735849,0.9735849
AC,0.044247787,0.044247787,0.46902654,0.460177,0.32743362,0.5132743,0.76106197,0.74336284
AC,0.10119048,0.10714286,0.16666667,0.3809524,0.5654762,0.6130952,0.9404762,0.9404762
AC,0.039215688,0.047058824,0.18431373,0.34117648,0.5019608,0.42745098,0.96862745,0.972549
AC,0.021052632,0.11578947,0.18947369,0.18947369,0.7157895,0.25263157,0.96842104,0.96842104
SP,0.055555556,0.044444446,0.62222224,0.62222224,0.76666665,0.0,0.9111111,0.9222222
SP,0.08219178,0.26712328,0.44520548,0.47945204,0.6917808,0.0,0.9246575,0.9589041
SP,0.033613447,0.29411766,0.4789916,0.62184876,0.8655462,0.0,0.9411765,0.96638656
SP,0.056179777,0.33707866,0.49438202,0.5280899,0.66292137,0.0,0.85393256,0.9101124
AC,0.026392963,0.032258064,0.18181819,0.055718474,0.40469208,0.3489736,0.97947216,0.98533726
AC,0.017985612,0.08992806,0.22302158,0.29496402,0.4028777,0.74820143,0.9676259,0.97482014
SP,0.038961038,0.064935066,0.25324675,0.24675325,0.5584416,0.0,0.9415584,0.9805195
SP,0.04901961,0.4117647,0.25490198,0.627451,0.46078432,0.0,0.95098037,0.95098037
AC,0.05882353,0.16911764,0.40441176,0.40441176,0.5661765,0.8382353,0.9191176,0.9044118
SP,0.046728972,0.037383176,0.22429906,0.23364486,0.35514018,0.0,0.93457943,0.95327103
AC,0.023346303,0.035019454,0.08560311,0.32684824,0.72762644,0.48249027,0.9610895,0.9688716
SP,0.125,0.17045455,0.32954547,0.3181818,0.45454547,0.0,0.90909094,0.9318182
AC,0.03181818,0.022727273,0.26818183,0.27272728,0.3409091,0.72727275,0.95454544,0.93636364
AC,0.12195122,0.024390243,0.21341464,0.09756097,0.7012195,0.56707317,0.94512194,0.9695122
SP,0.036842104,0.14210527,0.26842105,0.45789474,0.67368424,0.0,0.95789474,0.97894734
SP,0.04,0.144,0.28,0.44,0.672,0.0,0.944,0.944
AC,0.03409091,0.07386363,0.33522728,0.33522728,0.53977275,0.71022725,0.97159094,0.97159094
